predicted,test
10.33906783079624,10.7
7.422048336690772,7.02
7.422048336690772,7.48
8.130850338311795,8.43
8.261845612870081,7.42
7.729044751571885,8.23
8.261845612870081,6.79
9.722593065450084,12.0
14.131194229053321,14.15
8.314800529814553,7.99
10.33906783079624,11.52
11.80547562842682,11.36
8.647158116039071,7.98
10.063157757789321,8.91
9.690532422121123,9.56
10.063157757789321,9.9
8.838500991560442,7.81
8.65372295317867,6.32
7.876390583580291,7.62
4.908717361832286,3.79
8.314800529814553,8.08
10.33906783079624,8.72
6.847809030818327,6.02
7.196060158230625,6.69
7.196060158230625,6.75
10.063157757789321,9.84
8.838500991560442,8.83
8.130850338311795,7.53
7.196060158230625,6.45
7.729044751571885,7.15
6.232584817412814,6.42
7.196060158230625,7.9
6.847809030818327,6.16
5.845962036792073,5.4
8.37238819504188,8.49
9.722593065450084,10.05
8.314800529814553,9.42
7.928973166162874,6.02
9.690532422121123,13.01
28.312690954534045,14.73
6.847809030818327,6.8
5.293904031143966,3.9
7.403709681732555,7.64
10.320419248802848,10.24
9.816413553865253,11.72
10.063157757789321,9.06
7.928973166162874,9.03
7.442365705469789,5.46
6.818063356781513,7.12
23.177253952123586,25.0
8.94238959906055,8.73
7.442365705469789,7.03
5.845962036792073,7.53
10.094164041259704,9.54
7.196060158230625,6.48
10.063157757789321,11.18
8.65372295317867,8.71
6.847809030818327,7.6
12.340301130079297,13.1
8.951461348633744,7.64
8.314800529814553,8.41
7.729044751571885,8.51
9.722593065450084,8.64
6.847809030818327,9.22
5.624792685669205,5.56
9.722593065450084,8.41
8.647158116039071,8.81
13.07526226328407,16.5
7.928973166162874,8.0
8.647158116039071,9.69
6.847809030818327,6.48
8.357658000181214,5.96
8.65372295317867,7.23
5.624792685669205,5.03
8.951461348633744,9.96
9.672293146801842,9.63
8.261845612870081,9.88
9.690532422121123,9.92
8.647158116039071,6.25
10.33906783079624,9.86
7.442365705469789,6.87
7.471160287870616,6.97
8.838500991560442,10.53
5.845962036792073,4.72
9.194089922432493,10.67
7.729044751571885,5.98
6.847809030818327,5.16
7.196060158230625,6.82
7.403709681732555,7.53
8.314800529814553,8.76
8.838500991560442,14.03
8.65372295317867,6.48
8.65372295317867,8.35
10.207087734522977,10.04
5.152225377957658,5.25
9.690532422121123,11.19
13.07526226328407,12.14
7.928973166162874,7.57
8.94238959906055,8.56
8.65372295317867,9.85
5.859735739536274,7.96
9.194089922432493,8.16
7.196060158230625,8.36
7.471160287870616,8.11
8.357658000181214,9.31
5.845962036792073,4.56
6.654232682963933,6.31
9.816413553865253,9.41
11.774241229453144,11.69
7.998970765669115,7.79
7.422048336690772,6.16
11.952130149997286,11.7
6.847809030818327,6.8
13.531362712763322,13.7
6.847809030818327,7.25
7.403709681732555,9.68
5.079606802827991,4.12
12.340301130079297,9.87
7.928973166162874,6.32
8.65372295317867,8.58
7.403709681732555,5.54
5.079606802827991,5.75
8.65372295317867,7.13
8.951461348633744,9.52
13.322521307511806,13.81
8.314800529814553,11.01
9.986005231155684,10.81
9.690532422121123,9.55
10.33906783079624,9.38
8.357658000181214,7.56
8.65372295317867,6.78
9.816413553865253,11.72
7.471160287870616,8.69
7.998970765669115,8.48
7.403709681732555,6.43
8.65372295317867,7.0
8.0875827440554,8.0
8.65372295317867,8.0
11.250020993718978,14.21
5.675107816297824,5.89
7.729044751571885,6.62
11.004325903428487,10.47
6.232584817412814,7.53
8.314800529814553,7.97
10.207087734522977,10.65
11.020143187870774,10.48
8.0875827440554,7.26
8.65372295317867,10.79
7.422048336690772,8.9
8.229357448427328,6.61
8.907936256119061,7.31
8.314800529814553,9.34
7.196060158230625,9.88
7.471160287870616,8.53
8.838500991560442,8.56
10.33906783079624,11.56
8.357658000181214,8.68
9.690532422121123,8.6
7.422048336690772,9.55
7.196060158230625,9.57
10.33906783079624,8.72
9.816413553865253,9.65
5.859735739536274,4.55
6.847809030818327,8.6
11.774241229453144,10.62
10.33906783079624,10.88
8.838500991560442,9.26
7.729044751571885,8.62
11.80547562842682,15.02
8.838500991560442,7.36
7.928973166162874,9.22
13.07526226328407,11.88
